GeneSet	DESC	GeneSet,Genes
AARS2	AARS2	AARS2,TARS2,AARSD1,LARS2,VARS2,IARS2,DTD2,FARS2,MARS2,YARS2,EARS2
AARSD1	AARSD1	AARSD1,DTD2,AARS2,VARS2,LARS2,IARS2,FARS2,TARS2,YARS2,MARS2,FARSA
AASDH	AASDH	AASDH,PCCB,ILVBL,ACSM6,PCCA,ACSM5,BCKDK,ACSF2,ACOT12,ACBD7,ACSM4
AASDHPPT	AASDHPPT	AASDHPPT,MTHFD2,ALDH1L1,MTHFS,MTHFD2L,FTCD,QDPR,ALDH1L2,PTS,MTRR,FPGS
AASS	AASS	AASS,CRYM,NCOR1,MIER3,HDAC10,PIPOX,KAT2B,SIRT2,HDAC9,PPARD,IL4I1
AATF	AATF	AATF,APBB2,CBLL1,PFDN5,ZNF268,RPS7,KLF11,PUM3,PA2G4,RPS3A,SRA1
AATK	AATK	AATK,DCLK3,TNK1,DYRK4,MAST1,UHMK1,LMTK3,ALK,MKNK1,DUSP18,STYK1
ABAT	ABAT	ABAT,COMT,CD38,GAD2,SOD2,SLC6A4,GCH1,SLC6A1,TH,GLUD1,CRH
ABCA1	ABCA1	ABCA1,ABCA7,MSR1,MARCO,LDLR,LDLRAP1,ADGRB1,P2RY6,SCARB2,ABCG1,M6PR
ABCA10	ABCA10	ABCA10,ABCA9,ABCA6,SPNS3,ABCC12,MFSD9,SVOPL,MFSD14B,MFSD3,SLC22A10,SLC22A25
ABCA12	ABCA12	ABCA12,ABCB4,UGCG,ABCA3,ABCA13,OSBP,CFTR,ABCA8,PLEKHA8,ABCA5,GLTP
ABCA13	ABCA13	ABCA13,ABCA5,ABCB4,ABCA8,ATP8A1,STARD4,OSBPL2,ABCA2,MLC1,TMEM30A,OSBP
ABCA2	ABCA2	ABCA2,ABCG1,APOC1,ARV1,CES1,LDLR,PON1,STAR,ABCG4,APOA2,CYP51A1
ABCA3	ABCA3	ABCA3,ABCA8,TMEM30A,ABCC1,ABCC2,ABCC3,ATP8B1,ABCG8,ABCB11,ABCB1,ABCB4
ABCA4	ABCA4	ABCA4,RDH12,RDH5,RDH11,RPE65,LRAT,PITPNM1,PLB1,RDH16,DHRS3,RETSAT
ABCA5	ABCA5	ABCA5,CETP,ABCG1,APOBR,SOAT1,ABCA13,PLTP,SOAT2,APOM,APOF,APOC1
ABCA6	ABCA6	ABCA6,ABCA9,ABCA10,SLC35E4,ABCC12,SLC35E1,ATP8B2,SPNS3,MFSD9,SVOPL,SLC16A13
ABCA7	ABCA7	ABCA7,LDLR,MSR1,ABCA1,ABCG1,LDLRAP1,LRP1,LRPAP1,ABCA2,CLN3,ABCA5
ABCA8	ABCA8	ABCA8,ABCA3,OSBP,ABCA13,ARV1,TEX2,ABCA5,ABCA2,OSBPL6,ABCB4,PLTP
ABCA9	ABCA9	ABCA9,ABCA10,ABCA6,SPNS3,ABCC12,MFSD9,SVOPL,MFSD14B,MFSD3,SLC22A10,SLC22A25
ABCB1	ABCB1	ABCB1,ABCA3,ABCC5,ABCC4,ABCC3,DNM2,ABCC2,ABCC1,ATP8B1,TMEM30A,ABCB4
ABCB10	ABCB10	ABCB10,TMEM14C,SLC25A37,FLVCR1,SLC25A39,SLC25A38,COX15,FLVCR2,ABCB6,SLC48A1,AHSP
ABCB11	ABCB11	ABCB11,ABCD3,ABCC2,CYP7A1,SCP2,ABCC3,SLC27A5,ABCA3,ABCC1,ARV1,OSBPL1A
ABCB4	ABCB4	ABCB4,ABCA13,OSBP,PLTP,ABCA3,GLTPD2,GLTP,ABCA12,PLEKHA8,ABCA8,ABCA5
ABCB5	ABCB5	ABCB5,SLC22A18,ABCA10,ABCA9,OSCP1,ABCA6,SVOP,SLC47A2,ABCC12,SLC22A23,TMEM30A
ABCB6	ABCB6	ABCB6,SLC11A2,UROD,PPOX,ABCB10,ALAS1,TMEM14C,COX15,FECH,RSAD1,SLC25A39
ABCB8	ABCB8	ABCB8,CCDC51,SLC12A1,SLC12A9,KCNAB3,SLC12A4,KCNIP1,KCNQ5,KCNIP4,KCNH8,KCNH3
ABCB9	ABCB9	ABCB9,TAP1,MFSD6,ERAP2,CTSE,SAR1B,TAPBPL,MR1,HLA-DRB5,HLA-DQB2,IFI30
ABCC1	ABCC1	ABCC1,ABCC10,ABCA3,ABCC3,ABCC2,ABCC5,ABCB11,MGST2,SLCO2B1,SLCO1B1,SLC22A7
ABCC10	ABCC10	ABCC10,ABCC1,ABCC3,SLCO1B1,SLC22A7,SLCO2B1,ABCC2,SLCO1A2,ABCC11,SLCO1B3,ABCC5
ABCC11	ABCC11	ABCC11,SLCO1A2,SLCO1B1,SLCO1B3,ABCC3,SLCO2B1,ABCG2,SLC22A11,ABCC2,SLC17A3,SLC22A6
ABCC12	ABCC12	ABCC12,ABCA10,ABCA9,ABCA6,FLVCR2,MFSD9,SVOPL,MFSD3,MFSD14B,SLC25A48,SEC22C
ABCC2	ABCC2	ABCC2,ABCC3,SLCO1B1,SLCO1B3,ABCC5,SLCO2B1,SLCO1A2,SLC22A7,ABCC11,ABCA3,ABCC1
ABCC3	ABCC3	ABCC3,ABCC2,ABCC5,SLCO1B1,SLCO1A2,SLCO1B3,SLCO2B1,SLC22A7,ABCC10,ABCC11,ABCC1
ABCC4	ABCC4	ABCC4,ABCC5,SLC22A7,ABCC3,SLCO2B1,ABCC2,SLCO1B1,ATP8B1,ABCG2,ABCC11,ABCB1
ABCC5	ABCC5	ABCC5,ABCC3,ABCC2,SLC22A7,SLC28A3,SLCO2B1,SLC29A3,SLCO1B1,ABCC4,SLC47A1,SLCO1A2
ABCC6	ABCC6	ABCC6,SLC34A1,CNNM4,CNGA3,SLC24A1,SLC34A2,ATP4A,SLC41A1,ATP10D,SLC22A12,SLC20A1
ABCC8	ABCC8	ABCC8,SLC30A8,KCNK3,LRRC8A,KCNJ11,KCTD7,SLC12A7,SLC12A2,ATP1A3,SLC12A6,STXBP3
ABCC9	ABCC9	ABCC9,KCNJ11,KCNJ3,KCNJ8,KCNK3,KCNE2,ATP1A1,AKAP7,KCNA5,KCNIP2,KCNJ5
ABCD2	ABCD2	ABCD2,ABCD3,ACSL1,FABP1,ACAA1,ACOX1,SLC27A4,SLC27A2,ACSBG1,ACSL6,ACSL5
ABCD3	ABCD3	ABCD3,SLC27A2,SLC27A5,ACAA1,ABCD2,ACOX2,ACSL1,ACOX1,ACOT2,SLC27A6,SCP2
ABCD4	ABCD4	ABCD4,MMAB,MMADHC,TCN2,MMAA,AMN,ABCD3,ABCC1,SLC27A6,FABP1,CD320
ABCE1	ABCE1	ABCE1,MTIF2,HBS1L,ETF1,MTIF3,GFM2,MRPL58,RPS3A,EIF5B,EFL1,MRPL13
ABCF1	ABCF1	ABCF1,EIF1AD,DRG2,DDX24,UNC50,GTPBP1,ANKHD1,ZRANB2,SUGP2,U2SURP,GNL2
ABCF2	ABCF2	ABCF2,RAB42,TMEM233,RASL12,REM2,CCDC70,LRRC3,SUSD3,CLDND2,NPDC1,MFSD13A
ABCF3	ABCF3	ABCF3,IFIT1B,PTPRCAP,IFI44L,IFI44,ELMOD2,VWCE,DDX60L,CD207,CD48,IL32
ABCG1	ABCG1	ABCG1,ABCA5,CETP,SOAT1,ABCA2,SOAT2,APOC1,CES1,PON1,PLA2G2A,APOA2
ABCG2	ABCG2	ABCG2,ABCC11,SLC17A3,SLCO1A2,SLC22A11,SLCO1B1,SLCO2B1,SLCO2A1,ABCC5,ABCC3,SLCO1B3
ABCG4	ABCG4	ABCG4,ABCA2,SEC14L2,ABCA5,TMEM97,ABCG1,EEPD1,SREBF2,CES1,ABCA13,ABCA3
ABCG5	ABCG5	ABCG5,ABCG8,ABCA3,NPC1L1,CYP8B1,ABCG4,ABCA8,CES1,GRAMD1C,OSBPL7,ABCA2
ABCG8	ABCG8	ABCG8,ABCG5,ABCA3,NPC1L1,CYP8B1,ABCA8,ABCG4,ABCB4,OSBPL7,CES1,ABCA2
ABHD1	ABHD1	ABHD1,OLAH,GLYATL2,AIG1,NUDT19,OXSM,ACSM6,ACSM5,ACSM4,ACOT12,ACOT7
ABHD10	ABHD10	ABHD10,ABHD13,LYPLA2,DESI2,LYPLA1,DESI1,AGBL1,CRYL1,PPT2,LYPLAL1,ABHD17C
ABHD11	ABHD11	ABHD11,LIPT1,AGPS,PXMP4,EPHX3,HSDL2,ABHD1,ACAT2,GLYATL3,ECHDC2,LIPF
ABHD12	ABHD12	ABHD12,ABHD12B,PLA2G2F,ABHD16A,GDPD3,ABHD6,ABHD16B,ABHD4,PNPLA6,PLA2G4C,LPCAT1
ABHD12B	ABHD12B	ABHD12B,ABHD16B,ABHD16A,PNPLA6,PNPLA7,GDPD3,ABHD4,GDPD1,PLA1A,ABHD3,PLA2G15
ABHD13	ABHD13	ABHD13,PPT2,DESI2,ABHD10,LYPLA1,LYPLA2,LYPLAL1,DESI1,ABHD17C,ABHD17B,ABHD17A
ABHD14A	ABHD14A	ABHD14A,TMEM62,AADACL4,AADACL3,TMPPE,PLD5,EPHX4,AADACL2,ABCF2,ASPHD1,CES4A
ABHD14B	ABHD14B	ABHD14B,NRF1,TCF20,PCBP3,MLLT10,ARID3B,ZNF300,ZNF594,ZNF606,ARID3C,ARID3A
ABHD15	ABHD15	ABHD15,PNLIPRP3,PNLIPRP1,PNPLA5,AIG1,AADAC,LIPK,LIPJ,LIPN,LIPM,ACAT2
ABHD16A	ABHD16A	ABHD16A,ABHD12B,ABHD16B,PNPLA6,GDPD3,PNPLA7,LIPH,LIPI,ABHD3,ABHD4,PLA2G15
ABHD16B	ABHD16B	ABHD16B,ABHD12B,ABHD16A,PNPLA6,GDPD3,PNPLA7,ABHD3,PLBD1,LIPI,PLA1A,LIPH
ABHD17A	ABHD17A	ABHD17A,ABHD17C,ABHD17B,ZDHHC5,LYPLA1,ZDHHC12,HHATL,ZDHHC2,ZDHHC4,USP6,MMD
ABHD17B	ABHD17B	ABHD17B,ABHD17C,ABHD17A,ZDHHC2,LYPLA1,ZDHHC12,LZTS1,USP6,SYNDIG1,ZDHHC5,ABHD13
ABHD17C	ABHD17C	ABHD17C,ABHD17B,ABHD17A,LYPLA1,ZDHHC2,USP6,LZTS1,HHATL,ZDHHC5,ZDHHC12,SYNDIG1
ABHD18	ABHD18	ABHD18,FNDC7,SCGB1C1,FNDC1,IGLON5,CCER2,C15orf61,FAM24A,FAM237A,CDCP2,LUZP2
ABHD2	ABHD2	ABHD2,PLCD4,TMF1,ACR,PCSK4,TBXA2R,TMPRSS12,PAFAH1B2,PLA2G3,PDE3A,PLA2G4B
ABHD3	ABHD3	ABHD3,PNPLA6,PLA2G15,PLA2G4D,LIPI,LPCAT4,PLA1A,LPCAT1,ABHD16B,LIPH,ABHD12B
ABHD4	ABHD4	ABHD4,GDPD3,PLA2G2F,LPCAT4,PLA2G4D,PNPLA6,PNPLA7,PLA1A,ABHD12B,TMEM86B,GDPD1
ABHD5	ABHD5	ABHD5,LPL,PLIN5,PNPLA3,AADAC,FITM1,FITM2,PNPLA2,LPGAT1,LPIN2,PLA2G4D
ABHD6	ABHD6	ABHD6,ALOX15B,PLA2G2C,PLA2G2F,MGLL,FABP5,ABHD12,PNPLA8,FAAH,DAGLB,LPIN1
ABHD8	ABHD8	ABHD8,PEBP4,C11orf52,BEND7,KPRP,PDZK1IP1,GPA33,FCGBP,UBL3,SEC14L3,COBLL1
ABI1	ABI1	ABI1,NTF3,MUSK,NTRK3,ALKAL1,LTK,STK4,SRCIN1,ALKAL2,CASS4,EPHA1
ABI2	ABI2	ABI2,ABI3,NCKAP1,WASF1,WASF2,BRK1,CTTN,AUTS2,RAC1,CYFIP1,CCDC88A
ABI3	ABI3	ABI3,ABI2,RAC1,SRCIN1,PRKCI,PFN2,CORO1C,SSH1,ABI1,EFNA5,EPHA3
ABI3BP	ABI3BP	ABI3BP,FBLN2,ECM2,DPT,COL6A6,EDIL3,COL6A5,MATN4,COL12A1,COL15A1,LAMC2
ABL1	ABL1	ABL1,CD40,PRKCD,UFL1,PIM1,CALR,CIB1,NUPR1,HSPB1,PTK2B,TP73
ABL2	ABL2	ABL2,ITGA3,CDC42EP3,SWAP70,PLXNB1,ARHGAP35,LIMK1,RHOG,C15orf62,ARHGEF2,PDCD10
ABLIM1	ABLIM1	ABLIM1,ABLIM3,ABLIM2,CLRN1,PARVB,FHDC1,FSCN2,SPEF1,FSCN1,FSCN3,TTC17
ABLIM2	ABLIM2	ABLIM2,LIMD2,ABLIM1,ACTL7B,THSD7B,FGD6,TTC17,FGD4,PARVB,GAS2L3,EPB41L1
ABLIM3	ABLIM3	ABLIM3,ABLIM1,AUTS2,SPEF1,ARPC2,FSCN1,AVIL,FHDC1,WASF3,TWF2,CAPZB
ABO	ABO	ABO,GBGT1,B4GALT3,A3GALT2,ST8SIA5,GALNT7,FUT5,ST6GAL2,GLT6D1,B3GALT5,FUT11
ABR	ABR	ABR,ARHGAP39,TIAM2,CHN2,ARHGAP32,ARHGAP22,PLEKHG4,ARHGEF40,ARHGAP30,RRAD,SRGAP3
ABRA	ABRA	ABRA,ZNF135,PKNOX2,CDC42EP3,AUTS2,ARID3C,RBPJL,ERG,TCF20,ARID3A,ZNF397
ABRACL	ABRACL	ABRACL,KANK3,MEGF9,LMOD1,SMTNL2,PLEKHG2,ARPC5L,PSTPIP2,DSTN,TPM2,CNN2
ABRAXAS1	ABRAXAS1	ABRAXAS1,UIMC1,BABAM2,BABAM1,MRNIP,FZR1,MDC1,RHNO1,RFWD3,TICRR,RAD9B
ABRAXAS2	ABRAXAS2	ABRAXAS2,CENPC,SKA1,KNSTRN,TEX14,SPAG5,SKA3,SPC25,SKA2,NSL1,ZNF207
ABT1	ABT1	ABT1,WDR43,HLF,UTP4,POLR2G,SSU72,ZNF143,ZBTB7A,FOXN2,HNRNPU,ZNHIT3
ABTB1	ABTB1	ABTB1,EEF1B2,EFL1,RPS2,EIF1AD,TSFM,RPLP1,FBXO25,EIF5AL1,DCAF17,RPS27A
ABTB2	ABTB2	ABTB2,SNN,TMEM181,CD69,SUSD6,GUCY2C,TRPM6,RASSF4,TCL1B,LRRC40,EDARADD
ACAA1	ACAA1	ACAA1,ACOX2,ACOT8,ACOT2,ABCD3,ACOX1,SLC27A2,ACOT1,AMACR,ACSL6,EHHADH
ACAA2	ACAA2	ACAA2,THEM4,ALKBH7,FABP1,HADHB,SCP2,HADHA,ECI2,MLYCD,DECR2,ETFDH
ACACA	ACACA	ACACA,MLYCD,ACSM3,ACSM2A,ACOT12,ACADL,ACACB,ACSF3,ACLY,HMGCS1,OXSM
ACACB	ACACB	ACACB,MLYCD,CPT1A,ACACA,ACAT1,ACSL1,PCK1,MPC2,DIP2A,ACADM,ABCD2
ACAD10	ACAD10	ACAD10,ACAD11,ACADS,EHHADH,ECI1,ECI2,ACOX3,ACOXL,ETFA,ECH1,ECHDC1
ACAD11	ACAD11	ACAD11,ACAD10,EHHADH,ACADS,ECI2,ACOX3,ECI1,ECH1,ACOXL,DECR2,ECHDC1
ACAD8	ACAD8	ACAD8,HIBADH,HIBCH,ACADSB,IVD,ETFA,ACSF2,PCCA,PCCB,ACSM4,MCEE
ACAD9	ACAD9	ACAD9,SLC27A3,ACOT2,ACSF2,ACSL6,ACAD11,THEM5,ACSL5,ACSF3,ACSM4,OXSM
ACADL	ACADL	ACADL,CRAT,ACADVL,CPT2,CROT,ACOT11,ACADM,ACSM2A,ACSM3,ACACA,ACOT8
ACADM	ACADM	ACADM,ACAT1,MLYCD,ACADL,CPT1A,CPT2,BAAT,BCKDHB,ACSM2A,HMGCS2,HADH
ACADS	ACADS	ACADS,ACAD10,ACAD11,EHHADH,ECI1,ECI2,ETFA,IVD,ACOXL,ACOX3,ECHS1
ACADSB	ACADSB	ACADSB,IVD,AUH,PCCA,ECHS1,PCCB,ACADS,ACAD8,BCAT2,MCEE,MCCC2
ACADVL	ACADVL	ACADVL,ACADL,ACOT11,HADH,DECR1,ACOT13,SCD,ACADM,UCP1,FABP4,CIDEA
ACAN	ACAN	ACAN,HAPLN1,VCAN,NCAN,HAPLN2,HAPLN3,BCAN,COL19A1,PRELP,MATN3,COL9A2
ACAP1	ACAP1	ACAP1,AGAP1,RABL2A,RAB36,SCAMP4,ALS2CL,ARFGAP2,ARL14,ANKRD50,GAPVD1,ARFGAP1
ACAP2	ACAP2	ACAP2,RINL,ASAP3,ARAP3,ACAP1,ALS2CL,RIN1,ARHGAP18,FGD5,ACAP3,ARHGAP32
ACAP3	ACAP3	ACAP3,GPRIN1,TIAM2,BICDL1,CHN2,SRGAP3,SYDE2,ARHGAP22,DOCK7,LRP12,SRGAP1
ACAT1	ACAT1	ACAT1,ACADM,MLYCD,BAAT,HMGCS2,ACACB,ACOT8,ACOT7,ACLY,ACO2,ACACA
ACAT2	ACAT2	ACAT2,ECH1,ECI2,ECHDC1,ACOT12,ECHDC2,DECR2,ACAA1,ACBD4,ECI1,LIPT1
ACBD3	ACBD3	ACBD3,MSMO1,ACBD4,LSS,AGPS,FDFT1,HINT2,PECR,OSBPL9,ACSM6,TM7SF2
ACBD4	ACBD4	ACBD4,ACBD7,ACOT12,FABP12,ACOT6,THEM5,MECR,ACAT2,ACSF3,ACSM6,ACSM4
ACBD5	ACBD5	ACBD5,PEX2,PECR,ACBD4,HACL1,ACAT2,ACOT6,PEX5,PXMP4,AGPS,ACOXL
ACBD6	ACBD6	ACBD6,KLHL11,CCDC43,FBXW9,C4orf46,SEC14L4,PHYHIPL,COMMD2,FAM136A,NBPF1,TEX44
ACBD7	ACBD7	ACBD7,ACBD4,THEM5,ACOT12,ACSF2,ACSM4,ACSM6,ACSM5,ACSF3,FADS6,RBP7
ACCS	ACCS	ACCS,ACCSL,PTS,GCAT,ACY1,HPDL,BCKDK,DDC,AASDH,GADL1,KYAT3
ACCSL	ACCSL	ACCSL,ACCS,GCAT,GOT1L1,PTS,PNPO,HPDL,LRRC47,PHOSPHO2,BCKDK,AASDH
ACD	ACD	ACD,TERF2IP,TERF2,POT1,TERF1,CTC1,PINX1,TINF2,STN1,TFPT,DCLRE1B
ACE	ACE	ACE,REN,KCNJ8,AGTR1,AGT,ENPEP,ERAP1,AGTRAP,TREX1,BLOC1S6,HYAL2
ACER1	ACER1	ACER1,SGPP1,CERS3,ASAH1,ASAH2,DEGS2,ACER3,SPTLC1,SPTLC3,CERS4,SGMS2
ACER2	ACER2	ACER2,ACER3,COL4A3,PDCD5,BCL2L10,SPHK1,ASAH2,ORMDL3,LGMN,ENPP7,RFPL1
ACER3	ACER3	ACER3,CERS6,ASAH2,CERS2,ACER1,SGMS2,CERS1,SGMS1,SMPDL3B,SPTLC1,ORMDL1
ACHE	ACHE	ACHE,COLQ,RAPSN,NSG1,SCARF1,LYNX1,BCHE,CNP,GRIN1,ANXA9,PICALM
ACIN1	ACIN1	ACIN1,PTBP3,AKAP8L,HNRNPLL,THOC5,ZC3H13,RBM5,PPP1R8,MBNL2,SREK1,SAP18
ACKR1	ACKR1	ACKR1,CCRL2,CXCR6,ACKR2,CCL22,ACKR4,FPR3,XCR1,C5,KLRG1,CCR8
ACKR2	ACKR2	ACKR2,ACKR4,CCRL2,CXCR6,XCR1,ACKR1,CCL1,FPR3,CCR8,CCR4,MCOLN2
ACKR3	ACKR3	ACKR3,THY1,PTPRJ,SEMA6A,CXCL12,CCR3,CEACAM1,RAMP2,CCL2,PROK2,PDCD6
ACKR4	ACKR4	ACKR4,CCR8,CCRL2,CCR10,XCR1,CXCR5,PTGDR2,CCR1,ACKR2,FPR3,CXCR6
ACLY	ACLY	ACLY,HMGCS1,OXSM,ACOT12,ACOT7,ACSF3,ACAT2,ACSM5,ACAA1,ACSM6,ACSM2B
ACMSD	ACMSD	ACMSD,HAAO,KYNU,AFMID,KMO,IDO2,TDO2,GCDH,QPRT,AZIN1,TPH2
ACO1	ACO1	ACO1,IREB2,ACO2,FTMT,CYBRD1,CYB561,BDH2,CYB561A3,BOLA1,FTH1,ISCU
ACO2	ACO2	ACO2,IDH3B,IDH3A,ACO1,IDH2,CS,ACAT1,IDH1,DLST,SUCLG2,OGDHL
ACOD1	ACOD1	ACOD1,NLRC5,LTF,MAVS,IRF5,TRIM6,IL17F,IRF1,SPN,PYDC2,GBP1
ACOT1	ACOT1	ACOT1,ACOT2,ACSF2,ACOT6,ACSL6,THEM5,ACAA1,ACOT12,ACSBG2,SLC27A3,ACSF3
ACOT11	ACOT11	ACOT11,ACOT13,HADH,PRKAB2,SCD,ACADVL,DECR1,ACADL,ACSL1,PLCL1,HADHA
ACOT12	ACOT12	ACOT12,ACOT6,ACBD4,ACSF2,ACSM5,ACOT1,ACOT2,ACSM6,ACSM4,THEM5,ACSF3
ACOT13	ACOT13	ACOT13,ACOT11,DECR1,SCD,PLCL1,BSCL2,PLIN1,PRKAB2,HADH,OMA1,LIPT1
ACOT2	ACOT2	ACOT2,ACOT1,ACSF2,THEM5,ACSL6,ACAA1,ACSF3,SLC27A3,ACOT6,ACOT12,OXSM
ACOT4	ACOT4	ACOT4,NUDT19,ACOT1,ACOT2,ACSM1,ACOT8,OXSM,ACAA1,PCCB,ACOT6,PCCA
ACOT6	ACOT6	ACOT6,ACOT12,ACOT2,ACOT8,ACOT1,EHHADH,ACAA1,PECR,ACSF2,THEM5,ACSM4
ACOT7	ACOT7	ACOT7,NUDT19,OXSM,ACSF3,NUDT8,NUDT7,ACAA1,ACOT2,ACOT1,ACOT8,ACOT12
ACOT8	ACOT8	ACOT8,ACAA1,ACOX2,ACOT6,AMACR,SCP2,ACOT2,OXSM,ACOX1,EHHADH,DECR2
ACOX1	ACOX1	ACOX1,ACAA1,HSD17B4,ACOT2,ACSL6,ABCD3,ACSBG2,SLC27A2,CROT,ACOT8,ACOX2
ACOX2	ACOX2	ACOX2,AMACR,ACAA1,ACOT8,SCP2,ABCD3,ACOX3,ACOXL,DECR2,EHHADH,ACAD11
ACOX3	ACOX3	ACOX3,ACOXL,EHHADH,ECI2,ACAD10,ACAD11,ACOX2,ECH1,HAO2,DECR2,ACAT2
ACOXL	ACOXL	ACOXL,ACOX3,EHHADH,ACAD10,ACOX2,DECR2,ECI2,ACAD11,HAO2,ACOT6,ECH1
ACP1	ACP1	ACP1,PTP4A2,PALD1,DDTL,SH2D4A,PTPN20,CILP2,ELFN2,ASAP2,PPP1R16A,PPP1R18
ACP5	ACP5	ACP5,NLRX1,BPI,NOS2,CUEDC2,PPARA,NLRP7,EPX,IL33,TMEM106A,GSTP1
ACP6	ACP6	ACP6,AGPAT5,LIPI,PLPP5,LGALS13,LIPH,PLPPR1,PLA1A,PLPPR3,PLA2G15,ABHD3
ACP7	ACP7	ACP7,PTX4,PINLYP,GFOD1,CILP2,ELFN2,MDP1,CPPED1,LCN15,PAMR1,EDDM3B
ACR	ACR	ACR,PCSK4,TMPRSS12,PRSS37,ZP2,PRSS55,ZPBP,ATP8B3,ACRBP,ASTL,LY6K
ACRBP	ACRBP	ACRBP,SPATA16,CCDC136,MFSD14A,ZPBP,ACTL7A,TMPRSS12,CCDC42,ACRV1,MORN2,SPACA1
ACRV1	ACRV1	ACRV1,MORN2,SPATA31A7,ODF4,SPATA25,CCIN,SPATA16,C3orf62,SPACA1,MEA1,SPATA32
ACSBG1	ACSBG1	ACSBG1,ACSL6,ACSBG2,ACOT1,ACOT2,SLC27A3,ACSL5,ACSF3,SLC27A6,ACSL1,ACAA1
ACSBG2	ACSBG2	ACSBG2,ACSL6,SLC27A3,ACSL5,ACSF3,ACSF2,ACOT1,ACOT2,ACSBG1,TECR,ACOX1
ACSF2	ACSF2	ACSF2,ACOT2,ACSM5,ACSM4,ACSM6,THEM5,ACSF3,ACSL6,SLC27A3,ACOT1,ACOT12
ACSF3	ACSF3	ACSF3,ACSF2,ACOT2,ACSM6,ACSM4,ACSM5,ACSL6,THEM5,ACOT12,ACSBG2,OXSM
ACSL1	ACSL1	ACSL1,SLC27A4,ACSL5,ACSL3,ABCD3,ABCD2,SLC27A2,SLC27A5,PNPLA3,ACSL6,SLC27A6
ACSL3	ACSL3	ACSL3,ACSL5,SLC27A2,SLC27A6,ACSL1,SLC27A5,ACSL6,SLC27A3,SLC27A4,ACSBG1,ABCD3
ACSL5	ACSL5	ACSL5,ACSL6,SLC27A3,ACSL3,SLC27A6,ACSL1,ACSF2,ACSBG2,SLC27A2,SLC27A5,ACSF3
